service_event_id,vin,service_date,service_type,service_centre,service_cost,warranty,notes
13470,WBA00000000000059,2016-05-19,Oil Service,BMW Miami Service,320.00,FALSE,Notes: software update
13471,WBA00000000000023,2020-11-12,Annual Service,BMW Regensburg Service,0.00,TRUE,Notes: routine
13472,WBA00000000000112,2025-06-17,Oil Service,BMW Cologne Service,1095.00,FALSE,Notes: inspection
13542,WBA00000000000138,2025-12-31,Annual Service,BMW Hamburg Service,195.00,FALSE,Notes: routine
13543,WBA00000000000091,2020-12-04,Battery Service,BMW Munich Service,326.00,FALSE,Notes: software update
13544,WBA00000000000214,2016-11-05,Brake Service,BMW Stuttgart Service,268.00,FALSE,Notes: inspection
13545,WBA00000000000053,2021-06-02,Oil Service,BMW Miami Service,1039.00,FALSE,Notes: inspection
13546,WBA00000000000150,2025-12-17,Battery Service,BMW Spartanburg Service,391.00,FALSE,Notes: inspection
13547,WBA00000000000044,2025-12-31,Annual Service,BMW Chicago Service,82.00,FALSE,Notes: software update
13548,WBA00000000000044,2025-09-05,Oil Service,BMW Dallas Service,108.00,FALSE,Notes: inspection
13549,WBA00000000000061,2022-09-10,Oil Service,BMW Regensburg Service,1046.00,FALSE,Notes: software update
13550,WBA00000000000035,2017-03-27,Annual Service,BMW Frankfurt Service,788.00,FALSE,Notes: routine
13551,WBA00000000000074,2022-12-06,Oil Service,BMW Stuttgart Service,0.00,TRUE,Notes: routine
13552,WBA00000000000225,2025-12-31,Battery Service,BMW Hamburg Service,528.00,FALSE,Notes: software update
13553,WBA00000000000008,2022-04-07,Oil Service,BMW Regensburg Service,0.00,TRUE,Notes: inspection
13554,WBA00000000000004,2022-07-06,Oil Service,BMW Miami Service,451.00,FALSE,Notes: inspection
13603,WBA00000000000269,2019-05-18,Brake Service,BMW Miami Service,606.00,FALSE,Notes: routine
13604,WBA00000000000065,2022-04-10,Inspection,BMW New York Service,0.00,TRUE,Notes: software update
13605,WBA00000000000121,2020-04-28,Annual Service,BMW Frankfurt Service,1136.00,FALSE,Notes: routine
13606,WBA00000000000063,2016-11-10,Annual Service,BMW Spartanburg Service,824.00,FALSE,Notes: inspection
13607,WBA00000000000259,2025-12-31,Annual Service,BMW Leipzig Service,737.00,FALSE,Notes: software update
13608,WBA00000000000232,2025-12-31,Battery Service,BMW Dallas Service,978.00,FALSE,Notes: inspection
13609,WBA00000000000166,2024-07-03,Oil Service,BMW New York Service,265.00,FALSE,Notes: routine
13610,WBA00000000000156,2024-05-19,Brake Service,BMW Los Angeles Service,890.00,FALSE,Notes: software update
13611,WBA00000000000223,2018-12-08,Brake Service,BMW Leipzig Service,692.00,FALSE,Notes: inspection
13612,WBA00000000000220,2020-11-03,Brake Service,BMW Leipzig Service,673.00,FALSE,Notes: inspection
13613,WBA00000000000024,2017-12-16,Oil Service,BMW Hamburg Service,0.00,TRUE,Notes: inspection
13758,WBA00000000000060,2018-06-15,Annual Service,BMW Hamburg Service,1198.00,FALSE,Notes: routine
13759,WBA00000000000246,2025-12-31,Battery Service,BMW New York Service,0.00,TRUE,Notes: software update
13760,WBA00000000000004,2022-05-06,Annual Service,BMW Chicago Service,216.00,FALSE,Notes: software update
13761,WBA00000000000203,2020-05-28,Oil Service,BMW Frankfurt Service,937.00,FALSE,Notes: inspection
13762,WBA00000000000266,2016-09-06,Oil Service,BMW Frankfurt Service,1122.00,FALSE,Notes: inspection
13763,WBA00000000000002,2016-09-05,Inspection,BMW Hamburg Service,807.00,FALSE,Notes: routine
13764,WBA00000000000043,2016-09-29,Oil Service,BMW Chicago Service,0.00,TRUE,Notes: routine
13765,WBA00000000000056,2025-03-02,Inspection,BMW Los Angeles Service,386.00,FALSE,Notes: routine
13766,WBA00000000000291,2020-02-26,Brake Service,BMW Cologne Service,0.00,TRUE,Notes: inspection
13767,WBA00000000000056,2024-07-29,Annual Service,BMW Los Angeles Service,1128.00,FALSE,Notes: software update
13768,WBA00000000000182,2025-12-31,Battery Service,BMW Chicago Service,113.00,FALSE,Notes: software update
13769,WBA00000000000027,2017-12-27,Battery Service,BMW Berlin Service,473.00,FALSE,Notes: inspection
13770,WBA00000000000294,2025-12-31,Oil Service,BMW Regensburg Service,738.00,FALSE,Notes: routine
13771,WBA00000000000001,2017-08-26,Brake Service,BMW Munich Service,1120.00,FALSE,Notes: inspection
13772,WBA00000000000114,2024-05-20,Battery Service,BMW Berlin Service,493.00,FALSE,Notes: routine
13773,WBA00000000000109,2023-09-27,Inspection,BMW Stuttgart Service,932.00,FALSE,Notes: routine
13842,WBA00000000000037,2018-07-13,Oil Service,BMW Hamburg Service,1118.00,FALSE,Notes: software update
13843,WBA00000000000162,2020-07-02,Battery Service,BMW Frankfurt Service,222.00,FALSE,Notes: inspection
13844,WBA00000000000219,2023-10-19,Inspection,BMW Leipzig Service,0.00,TRUE,Notes: routine
13845,WBA00000000000207,2025-12-31,Annual Service,BMW Hamburg Service,0.00,TRUE,Notes: inspection
13846,WBA00000000000035,2018-02-05,Annual Service,BMW Stuttgart Service,659.00,FALSE,Notes: software update
13847,WBA00000000000121,2020-03-31,Brake Service,BMW Frankfurt Service,959.00,FALSE,Notes: inspection
13848,WBA00000000000079,2025-12-31,Brake Service,BMW Hamburg Service,489.00,FALSE,Notes: routine
13849,WBA00000000000287,2021-02-18,Oil Service,BMW Munich Service,1143.00,FALSE,Notes: software update
13850,WBA00000000000043,2017-04-06,Battery Service,BMW Miami Service,327.00,FALSE,Notes: inspection
13851,WBA00000000000275,2020-12-30,Battery Service,BMW Cologne Service,794.00,FALSE,Notes: inspection
13852,WBA00000000000219,2024-02-19,Inspection,BMW Cologne Service,382.00,FALSE,Notes: software update
13932,WBA00000000000231,2024-01-13,Battery Service,BMW Spartanburg Service,572.00,FALSE,Notes: software update
13933,WBA00000000000125,2021-11-17,Brake Service,BMW Spartanburg Service,331.00,FALSE,Notes: inspection
13934,WBA00000000000068,2021-10-10,Battery Service,BMW Regensburg Service,1044.00,FALSE,Notes: inspection
13935,WBA00000000000228,2024-06-06,Brake Service,BMW Leipzig Service,1115.00,FALSE,Notes: software update
13936,WBA00000000000132,2020-09-20,Inspection,BMW Cologne Service,98.00,FALSE,Notes: routine
13937,WBA00000000000180,2015-12-30,Battery Service,BMW Leipzig Service,1198.00,FALSE,Notes: software update
13938,WBA00000000000165,2017-07-03,Brake Service,BMW Spartanburg Service,0.00,TRUE,Notes: inspection
13939,WBA00000000000183,2025-02-22,Inspection,BMW Regensburg Service,1104.00,FALSE,Notes: software update
13940,WBA00000000000092,2025-11-08,Inspection,BMW Frankfurt Service,563.00,FALSE,Notes: software update
13994,WBA00000000000230,2020-11-24,Oil Service,BMW Munich Service,1050.00,FALSE,Notes: routine
13995,WBA00000000000292,2018-05-15,Battery Service,BMW Stuttgart Service,311.00,FALSE,Notes: software update
13996,WBA00000000000286,2022-04-20,Brake Service,BMW Los Angeles Service,192.00,FALSE,Notes: routine
13997,WBA00000000000050,2024-07-20,Inspection,BMW Leipzig Service,1077.00,FALSE,Notes: routine
13998,WBA00000000000038,2017-05-16,Brake Service,BMW Los Angeles Service,433.00,FALSE,Notes: inspection
13999,WBA00000000000055,2023-03-15,Inspection,BMW Dallas Service,527.00,FALSE,Notes: routine
14000,WBA00000000000265,2019-09-25,Annual Service,BMW Frankfurt Service,260.00,FALSE,Notes: routine
14001,WBA00000000000165,2016-08-18,Inspection,BMW New York Service,0.00,TRUE,Notes: routine
14002,WBA00000000000031,2023-12-30,Inspection,BMW Guadalajara Service,348.00,FALSE,Notes: software update
14003,WBA00000000000238,2020-11-05,Inspection,BMW Hamburg Service,268.00,FALSE,Notes: routine
14004,WBA00000000000086,2023-11-23,Inspection,BMW Leipzig Service,163.00,FALSE,Notes: software update
14005,WBA00000000000116,2024-09-13,Oil Service,BMW Frankfurt Service,0.00,TRUE,Notes: routine
14006,WBA00000000000123,2019-06-16,Oil Service,BMW Munich Service,502.00,FALSE,Notes: inspection
14007,WBA00000000000254,2019-05-30,Inspection,BMW Miami Service,610.00,FALSE,Notes: routine
14008,WBA00000000000031,2024-06-05,Annual Service,BMW Monterrey Service,546.00,FALSE,Notes: routine
14009,WBA00000000000131,2025-04-19,Inspection,BMW Munich Service,1021.00,FALSE,Notes: software update
14010,WBA00000000000286,2022-10-29,Oil Service,BMW Miami Service,0.00,TRUE,Notes: routine
14011,WBA00000000000256,2023-12-24,Annual Service,BMW Regensburg Service,290.00,FALSE,Notes: software update
14012,WBA00000000000024,2018-07-28,Oil Service,BMW Leipzig Service,0.00,TRUE,Notes: software update
13401,WBA00000000000091,2021-05-04,Brake Service,BMW Regensburg Service,0.00,TRUE,Notes: software update
13402,WBA00000000000198,2021-09-12,Battery Service,BMW Monterrey Service,790.00,FALSE,Notes: software update
13403,WBA00000000000242,2021-08-14,Annual Service,BMW Los Angeles Service,512.00,FALSE,Notes: routine
13404,WBA00000000000089,2020-10-25,Inspection,BMW San Luis Potosí Service,1029.00,FALSE,Notes: software update
13405,WBA00000000000206,2025-12-31,Battery Service,BMW San Luis Potosí Service,337.00,FALSE,Notes: routine
13406,WBA00000000000085,2015-07-27,Oil Service,BMW Los Angeles Service,338.00,FALSE,Notes: routine
13407,WBA00000000000265,2018-01-14,Oil Service,BMW Cologne Service,0.00,TRUE,Notes: routine
13408,WBA00000000000165,2016-11-30,Oil Service,BMW Spartanburg Service,337.00,FALSE,Notes: inspection
13409,WBA00000000000122,2017-05-24,Annual Service,BMW Hamburg Service,410.00,FALSE,Notes: software update
13410,WBA00000000000167,2022-05-19,Inspection,BMW Los Angeles Service,0.00,TRUE,Notes: inspection
13411,WBA00000000000175,2017-06-22,Oil Service,BMW Regensburg Service,825.00,FALSE,Notes: routine
13412,WBA00000000000074,2023-01-30,Brake Service,BMW Berlin Service,674.00,FALSE,Notes: software update
13413,WBA00000000000267,2018-07-30,Oil Service,BMW Berlin Service,1098.00,FALSE,Notes: inspection
13555,WBA00000000000012,2020-11-28,Annual Service,BMW Spartanburg Service,527.00,FALSE,Notes: inspection
13556,WBA00000000000192,2025-12-31,Battery Service,BMW Chicago Service,0.00,TRUE,Notes: software update
13557,WBA00000000000175,2016-02-29,Battery Service,BMW Stuttgart Service,0.00,TRUE,Notes: inspection
13558,WBA00000000000028,2019-07-08,Oil Service,BMW Munich Service,773.00,FALSE,Notes: inspection
13559,WBA00000000000062,2016-01-18,Inspection,BMW Monterrey Service,1060.00,FALSE,Notes: inspection
13560,WBA00000000000163,2023-08-25,Oil Service,BMW Dallas Service,682.00,FALSE,Notes: inspection
13561,WBA00000000000252,2017-12-19,Oil Service,BMW Munich Service,222.00,FALSE,Notes: inspection
13562,WBA00000000000114,2023-05-22,Annual Service,BMW Hamburg Service,932.00,FALSE,Notes: inspection
13637,WBA00000000000287,2021-11-12,Annual Service,BMW Cologne Service,468.00,FALSE,Notes: routine
13638,WBA00000000000241,2025-12-31,Brake Service,BMW Stuttgart Service,296.00,FALSE,Notes: routine
13639,WBA00000000000191,2020-09-26,Battery Service,BMW Cologne Service,556.00,FALSE,Notes: inspection
13640,WBA00000000000204,2023-05-18,Inspection,BMW Leipzig Service,808.00,FALSE,Notes: inspection
13641,WBA00000000000194,2020-08-04,Battery Service,BMW Stuttgart Service,901.00,FALSE,Notes: routine
13642,WBA00000000000001,2018-04-13,Brake Service,BMW Munich Service,843.00,FALSE,Notes: inspection
13643,WBA00000000000033,2024-01-05,Inspection,BMW New York Service,0.00,TRUE,Notes: software update
13644,WBA00000000000235,2019-12-19,Annual Service,BMW Monterrey Service,384.00,FALSE,Notes: inspection
13645,WBA00000000000075,2022-09-08,Annual Service,BMW Dallas Service,538.00,FALSE,Notes: software update
13646,WBA00000000000195,2021-08-05,Annual Service,BMW Leipzig Service,437.00,FALSE,Notes: software update
13647,WBA00000000000171,2019-12-20,Battery Service,BMW New York Service,795.00,FALSE,Notes: routine
13648,WBA00000000000092,2025-12-31,Brake Service,BMW Cologne Service,1154.00,FALSE,Notes: routine
13649,WBA00000000000066,2019-02-24,Inspection,BMW Chicago Service,936.00,FALSE,Notes: routine
13650,WBA00000000000029,2025-12-31,Battery Service,BMW Berlin Service,937.00,FALSE,Notes: software update
13746,WBA00000000000184,2024-09-25,Annual Service,BMW Leipzig Service,416.00,FALSE,Notes: inspection
13747,WBA00000000000082,2025-12-31,Inspection,BMW Spartanburg Service,0.00,TRUE,Notes: inspection
13748,WBA00000000000246,2025-12-31,Annual Service,BMW New York Service,750.00,FALSE,Notes: software update
13749,WBA00000000000070,2019-05-19,Battery Service,BMW Frankfurt Service,0.00,TRUE,Notes: inspection
13750,WBA00000000000096,2025-12-31,Oil Service,BMW Spartanburg Service,913.00,FALSE,Notes: software update
13751,WBA00000000000146,2018-01-08,Inspection,BMW Munich Service,1098.00,FALSE,Notes: routine
13752,WBA00000000000142,2025-03-27,Inspection,BMW San Luis Potosí Service,581.00,FALSE,Notes: routine
13753,WBA00000000000289,2023-05-18,Oil Service,BMW Regensburg Service,568.00,FALSE,Notes: software update
13754,WBA00000000000027,2019-10-03,Annual Service,BMW Leipzig Service,0.00,TRUE,Notes: inspection
13755,WBA00000000000157,2022-12-15,Annual Service,BMW Hamburg Service,1124.00,FALSE,Notes: routine
13756,WBA00000000000099,2023-07-05,Brake Service,BMW Berlin Service,0.00,TRUE,Notes: routine
13757,WBA00000000000295,2018-05-17,Brake Service,BMW Guadalajara Service,345.00,FALSE,Notes: inspection
13833,WBA00000000000196,2025-12-31,Inspection,BMW Spartanburg Service,835.00,FALSE,Notes: inspection
13834,WBA00000000000194,2021-06-29,Brake Service,BMW Regensburg Service,921.00,FALSE,Notes: inspection
13835,WBA00000000000215,2020-08-28,Oil Service,BMW New York Service,595.00,FALSE,Notes: software update
13836,WBA00000000000017,2025-06-22,Oil Service,BMW Berlin Service,0.00,TRUE,Notes: routine
13837,WBA00000000000104,2021-08-24,Brake Service,BMW Los Angeles Service,521.00,FALSE,Notes: inspection
13838,WBA00000000000017,2025-12-31,Oil Service,BMW Frankfurt Service,665.00,FALSE,Notes: software update
13839,WBA00000000000126,2025-11-28,Annual Service,BMW Leipzig Service,695.00,FALSE,Notes: software update
13840,WBA00000000000264,2017-07-09,Annual Service,BMW Frankfurt Service,0.00,TRUE,Notes: routine
13841,WBA00000000000072,2018-08-16,Brake Service,BMW Stuttgart Service,1183.00,FALSE,Notes: software update
13941,WBA00000000000228,2023-03-03,Inspection,BMW Berlin Service,425.00,FALSE,Notes: inspection
13942,WBA00000000000213,2025-12-31,Inspection,BMW Berlin Service,325.00,FALSE,Notes: software update
13943,WBA00000000000296,2017-10-24,Oil Service,BMW Regensburg Service,420.00,FALSE,Notes: software update
13944,WBA00000000000172,2025-12-31,Annual Service,BMW Berlin Service,0.00,TRUE,Notes: inspection
13945,WBA00000000000096,2025-12-31,Battery Service,BMW Spartanburg Service,352.00,FALSE,Notes: software update
13946,WBA00000000000297,2025-10-18,Battery Service,BMW Munich Service,378.00,FALSE,Notes: software update
13947,WBA00000000000160,2019-07-15,Oil Service,BMW Miami Service,0.00,TRUE,Notes: inspection
13948,WBA00000000000059,2015-12-25,Oil Service,BMW Dallas Service,832.00,FALSE,Notes: routine
13949,WBA00000000000078,2025-12-31,Inspection,BMW Cologne Service,511.00,FALSE,Notes: software update
14013,WBA00000000000300,2016-10-25,Oil Service,BMW Monterrey Service,751.00,FALSE,Notes: routine
14014,WBA00000000000207,2025-12-31,Oil Service,BMW Frankfurt Service,204.00,FALSE,Notes: inspection
14015,WBA00000000000183,2023-09-04,Oil Service,BMW Regensburg Service,0.00,TRUE,Notes: inspection
14016,WBA00000000000078,2025-12-31,Brake Service,BMW Frankfurt Service,1165.00,FALSE,Notes: routine
14017,WBA00000000000178,2025-12-31,Oil Service,BMW Munich Service,696.00,FALSE,Notes: inspection
14018,WBA00000000000132,2020-09-01,Annual Service,BMW Hamburg Service,0.00,TRUE,Notes: inspection
14019,WBA00000000000117,2017-06-13,Oil Service,BMW Berlin Service,0.00,TRUE,Notes: routine
14020,WBA00000000000205,2017-10-05,Brake Service,BMW Dallas Service,227.00,FALSE,Notes: software update
14021,WBA00000000000089,2020-08-16,Oil Service,BMW Mexico City Service,306.00,FALSE,Notes: inspection
14067,WBA00000000000296,2016-12-17,Oil Service,BMW Stuttgart Service,471.00,FALSE,Notes: inspection
14068,WBA00000000000040,2018-10-15,Oil Service,BMW Stuttgart Service,0.00,TRUE,Notes: inspection
14069,WBA00000000000167,2022-05-20,Annual Service,BMW Miami Service,449.00,FALSE,Notes: routine
14070,WBA00000000000112,2023-10-28,Battery Service,BMW Stuttgart Service,748.00,FALSE,Notes: software update
14071,WBA00000000000099,2023-04-11,Oil Service,BMW Munich Service,493.00,FALSE,Notes: software update
14072,WBA00000000000019,2017-12-10,Oil Service,BMW Stuttgart Service,124.00,FALSE,Notes: routine
14073,WBA00000000000162,2019-11-21,Annual Service,BMW Leipzig Service,245.00,FALSE,Notes: routine
14074,WBA00000000000103,2021-01-26,Oil Service,BMW Dallas Service,746.00,FALSE,Notes: routine
14075,WBA00000000000229,2018-11-12,Battery Service,BMW Berlin Service,375.00,FALSE,Notes: routine
14076,WBA00000000000107,2020-04-28,Inspection,BMW Cologne Service,946.00,FALSE,Notes: software update
14077,WBA00000000000275,2022-07-12,Inspection,BMW Berlin Service,553.00,FALSE,Notes: routine
14078,WBA00000000000297,2025-12-31,Oil Service,BMW Frankfurt Service,999.00,FALSE,Notes: inspection
14079,WBA00000000000281,2025-07-12,Inspection,BMW Hamburg Service,99.00,FALSE,Notes: routine
14080,WBA00000000000003,2017-07-31,Brake Service,BMW Leipzig Service,0.00,TRUE,Notes: routine
14081,WBA00000000000284,2022-04-03,Inspection,BMW Stuttgart Service,563.00,FALSE,Notes: inspection
13473,WBA00000000000156,2025-08-19,Battery Service,BMW New York Service,248.00,FALSE,Notes: software update
13474,WBA00000000000051,2016-06-08,Brake Service,BMW Berlin Service,951.00,FALSE,Notes: routine
13475,WBA00000000000225,2025-08-17,Inspection,BMW Stuttgart Service,0.00,TRUE,Notes: inspection
13476,WBA00000000000195,2023-01-24,Brake Service,BMW Stuttgart Service,970.00,FALSE,Notes: routine
13477,WBA00000000000267,2017-03-08,Inspection,BMW Leipzig Service,877.00,FALSE,Notes: software update
13478,WBA00000000000087,2019-03-22,Inspection,BMW Cologne Service,1045.00,FALSE,Notes: inspection
13479,WBA00000000000193,2025-12-31,Battery Service,BMW Dallas Service,225.00,FALSE,Notes: software update
13480,WBA00000000000092,2025-12-31,Inspection,BMW Cologne Service,543.00,FALSE,Notes: inspection
13481,WBA00000000000056,2024-10-26,Brake Service,BMW Los Angeles Service,447.00,FALSE,Notes: software update
13482,WBA00000000000047,2020-11-27,Oil Service,BMW Stuttgart Service,0.00,TRUE,Notes: software update
13483,WBA00000000000106,2023-08-11,Battery Service,BMW Miami Service,474.00,FALSE,Notes: software update
13484,WBA00000000000300,2017-11-01,Annual Service,BMW San Luis Potosí Service,861.00,FALSE,Notes: software update
13485,WBA00000000000112,2024-08-03,Brake Service,BMW Frankfurt Service,0.00,TRUE,Notes: software update
13486,WBA00000000000070,2018-09-22,Battery Service,BMW Berlin Service,315.00,FALSE,Notes: software update
13487,WBA00000000000170,2016-10-27,Brake Service,BMW Guadalajara Service,1191.00,FALSE,Notes: inspection
13488,WBA00000000000203,2020-01-20,Oil Service,BMW Cologne Service,731.00,FALSE,Notes: inspection
13489,WBA00000000000148,2025-12-31,Annual Service,BMW Munich Service,1018.00,FALSE,Notes: inspection
13490,WBA00000000000207,2025-10-12,Inspection,BMW Frankfurt Service,0.00,TRUE,Notes: software update
13506,WBA00000000000190,2023-08-02,Oil Service,BMW Cologne Service,705.00,FALSE,Notes: inspection
13507,WBA00000000000019,2017-01-31,Inspection,BMW Hamburg Service,814.00,FALSE,Notes: routine
13508,WBA00000000000240,2020-12-10,Battery Service,BMW Hamburg Service,207.00,FALSE,Notes: routine
13509,WBA00000000000282,2024-05-21,Battery Service,BMW Spartanburg Service,727.00,FALSE,Notes: inspection
13510,WBA00000000000145,2022-05-03,Oil Service,BMW Spartanburg Service,0.00,TRUE,Notes: inspection
13511,WBA00000000000146,2016-07-04,Battery Service,BMW Hamburg Service,0.00,TRUE,Notes: software update
13512,WBA00000000000169,2023-06-05,Battery Service,BMW Monterrey Service,887.00,FALSE,Notes: software update
13513,WBA00000000000191,2020-10-11,Oil Service,BMW Stuttgart Service,1155.00,FALSE,Notes: software update
13514,WBA00000000000035,2017-05-14,Battery Service,BMW Frankfurt Service,604.00,FALSE,Notes: routine
13515,WBA00000000000071,2018-12-18,Brake Service,BMW Stuttgart Service,1186.00,FALSE,Notes: software update
13516,WBA00000000000161,2016-07-25,Battery Service,BMW Berlin Service,1042.00,FALSE,Notes: software update
13517,WBA00000000000026,2022-09-07,Annual Service,BMW Berlin Service,1182.00,FALSE,Notes: software update
13518,WBA00000000000255,2019-12-18,Annual Service,BMW Cologne Service,826.00,FALSE,Notes: software update
13519,WBA00000000000197,2024-10-19,Brake Service,BMW Mexico City Service,557.00,FALSE,Notes: routine
13520,WBA00000000000232,2025-12-31,Oil Service,BMW Miami Service,135.00,FALSE,Notes: software update
13521,WBA00000000000011,2022-12-21,Inspection,BMW Guadalajara Service,0.00,TRUE,Notes: routine
13522,WBA00000000000051,2017-07-29,Oil Service,BMW Hamburg Service,654.00,FALSE,Notes: software update
13523,WBA00000000000219,2024-05-15,Oil Service,BMW Munich Service,698.00,FALSE,Notes: routine
13524,WBA00000000000095,2018-08-05,Battery Service,BMW Hamburg Service,0.00,TRUE,Notes: routine
13525,WBA00000000000192,2025-05-02,Brake Service,BMW Los Angeles Service,761.00,FALSE,Notes: inspection
13651,WBA00000000000009,2022-08-05,Annual Service,BMW Munich Service,317.00,FALSE,Notes: inspection
13652,WBA00000000000061,2022-02-08,Brake Service,BMW Munich Service,323.00,FALSE,Notes: routine
13653,WBA00000000000155,2024-11-01,Oil Service,BMW Hamburg Service,317.00,FALSE,Notes: software update
13654,WBA00000000000064,2024-08-18,Brake Service,BMW Cologne Service,1079.00,FALSE,Notes: inspection
13655,WBA00000000000145,2021-07-22,Inspection,BMW New York Service,765.00,FALSE,Notes: inspection
13656,WBA00000000000031,2025-03-17,Oil Service,BMW Mexico City Service,157.00,FALSE,Notes: software update
13657,WBA00000000000237,2023-03-08,Annual Service,BMW Stuttgart Service,1101.00,FALSE,Notes: inspection
13658,WBA00000000000125,2022-02-07,Inspection,BMW New York Service,150.00,FALSE,Notes: routine
13659,WBA00000000000087,2018-07-14,Oil Service,BMW Regensburg Service,556.00,FALSE,Notes: software update
13660,WBA00000000000107,2018-12-27,Inspection,BMW Munich Service,1100.00,FALSE,Notes: inspection
13661,WBA00000000000216,2025-04-23,Annual Service,BMW New York Service,0.00,TRUE,Notes: routine
13662,WBA00000000000090,2020-01-29,Battery Service,BMW Frankfurt Service,158.00,FALSE,Notes: inspection
13663,WBA00000000000103,2021-01-05,Inspection,BMW Spartanburg Service,872.00,FALSE,Notes: routine
13709,WBA00000000000265,2018-11-26,Inspection,BMW Munich Service,0.00,TRUE,Notes: routine
13710,WBA00000000000239,2017-04-20,Inspection,BMW Miami Service,434.00,FALSE,Notes: inspection
13711,WBA00000000000098,2020-02-26,Annual Service,BMW Hamburg Service,817.00,FALSE,Notes: software update
13712,WBA00000000000166,2023-06-13,Annual Service,BMW New York Service,0.00,TRUE,Notes: software update
13713,WBA00000000000139,2017-05-09,Oil Service,BMW Berlin Service,1016.00,FALSE,Notes: software update
13714,WBA00000000000203,2018-10-07,Brake Service,BMW Regensburg Service,0.00,TRUE,Notes: routine
13715,WBA00000000000224,2021-12-31,Annual Service,BMW New York Service,574.00,FALSE,Notes: software update
13716,WBA00000000000115,2025-04-04,Inspection,BMW Cologne Service,355.00,FALSE,Notes: software update
13717,WBA00000000000288,2018-08-01,Brake Service,BMW Hamburg Service,660.00,FALSE,Notes: inspection
13718,WBA00000000000030,2025-12-31,Oil Service,BMW Frankfurt Service,558.00,FALSE,Notes: inspection
13719,WBA00000000000210,2021-12-04,Oil Service,BMW Chicago Service,808.00,FALSE,Notes: inspection
13720,WBA00000000000251,2018-12-14,Brake Service,BMW Leipzig Service,587.00,FALSE,Notes: routine
13721,WBA00000000000133,2024-10-24,Brake Service,BMW Berlin Service,0.00,TRUE,Notes: routine
13787,WBA00000000000042,2024-05-20,Oil Service,BMW Mexico City Service,0.00,TRUE,Notes: software update
13788,WBA00000000000273,2019-10-28,Inspection,BMW New York Service,554.00,FALSE,Notes: inspection
13789,WBA00000000000292,2020-05-31,Inspection,BMW Frankfurt Service,1057.00,FALSE,Notes: routine
13790,WBA00000000000143,2022-03-26,Inspection,BMW Frankfurt Service,828.00,FALSE,Notes: inspection
13791,WBA00000000000040,2017-12-03,Battery Service,BMW Cologne Service,211.00,FALSE,Notes: software update
13792,WBA00000000000174,2017-06-07,Brake Service,BMW Chicago Service,939.00,FALSE,Notes: routine
13793,WBA00000000000100,2022-11-23,Brake Service,BMW Munich Service,851.00,FALSE,Notes: inspection
13794,WBA00000000000066,2018-11-04,Inspection,BMW Los Angeles Service,750.00,FALSE,Notes: software update
13795,WBA00000000000281,2025-12-31,Inspection,BMW Leipzig Service,911.00,FALSE,Notes: inspection
13796,WBA00000000000060,2020-03-17,Inspection,BMW Stuttgart Service,421.00,FALSE,Notes: inspection
13797,WBA00000000000106,2022-05-28,Brake Service,BMW Miami Service,175.00,FALSE,Notes: inspection
13798,WBA00000000000131,2025-11-13,Oil Service,BMW Frankfurt Service,0.00,TRUE,Notes: routine
13818,WBA00000000000265,2018-12-19,Annual Service,BMW Cologne Service,1053.00,FALSE,Notes: software update
13819,WBA00000000000226,2025-09-18,Oil Service,BMW Regensburg Service,0.00,TRUE,Notes: software update
