recall_id,vin,campaign_id,status,announced_on,notified_on,closed_on,age_days_at_demo,mileage_at_assign,sla_breached
REC-000119,WBA00000000000296,HVB-2024-A,Open,2026-03-15,2026-04-08,,47,86893,FALSE
REC-000120,WBA5G30PHEV17A,HVB-2024-A,In Progress,2026-03-15,2026-05-12,,13,22000,FALSE
REC-000121,WBA5G30PHEV18A,HVB-2024-A,In Progress,2026-03-15,2026-04-04,,51,18000,FALSE
REC-000122,WBA5G30PHEV18B,HVB-2024-A,Open,2026-03-15,2026-05-11,,14,16000,FALSE
REC-000123,WBA5G30PHEV19A,HVB-2024-A,Open,2026-03-15,2026-04-05,,50,12000,FALSE
REC-000124,WBA5G30PHEV19B,HVB-2024-A,Closed,2026-03-15,2026-03-27,2026-04-25,59,11000,FALSE
REC-000125,WBA5G30PHEV20B,HVB-2024-A,Open,2026-03-15,2026-03-23,,63,8000,TRUE
REC-000126,WBA5G30PHEV20C,HVB-2024-A,In Progress,2026-03-15,2026-04-23,,32,7000,FALSE
REC-000127,WBA5G30PHEV21C,HVB-2024-A,In Progress,2026-03-15,2026-04-02,,53,4500,FALSE
REC-000128,WBA5G30PHEV21D,HVB-2024-A,In Progress,2026-03-15,2026-03-21,,65,4200,FALSE
REC-000129,WBA5G30PHEV22D,HVB-2024-A,In Progress,2026-03-15,2026-03-21,,65,3000,FALSE
REC-000130,WBA5G30PHEV22E,HVB-2024-A,Open,2026-03-15,2026-03-26,,60,2800,FALSE
REC-000131,WBA5G30PHEV23E,HVB-2024-A,Open,2026-03-15,2026-04-13,,42,1500,FALSE
REC-000132,WBA5G30PHEV23F,HVB-2024-A,Open,2026-03-15,2026-04-29,,26,900,FALSE
REC-000133,WBA5G30PHEV24G,HVB-2024-A,In Progress,2026-03-15,2026-05-24,,1,600,FALSE
REC-000134,WBA5G30PHEV24H,HVB-2024-A,Open,2026-03-15,2026-03-29,,57,350,FALSE
REC-000135,WBA00000000000001,EGR-2023-B,Closed,2025-11-01,2026-03-19,2026-05-20,67,214084,FALSE
REC-000136,WBA00000000000014,EGR-2023-B,Closed,2025-11-01,2026-01-24,2026-04-24,121,14162,FALSE
REC-000137,WBA00000000000015,EGR-2023-B,Open,2025-11-01,2025-11-13,,193,70923,TRUE
REC-000138,WBA00000000000017,EGR-2023-B,Open,2025-11-01,2025-11-30,,176,8228,FALSE
REC-000139,WBA00000000000022,EGR-2023-B,Closed,2025-11-01,2025-11-04,2025-11-29,202,100442,FALSE
REC-000140,WBA00000000000026,EGR-2023-B,Closed,2025-11-01,2025-11-08,2026-04-02,198,50210,FALSE
REC-000141,WBA00000000000027,EGR-2023-B,Open,2025-11-01,2025-11-28,,178,138716,FALSE
REC-000142,WBA00000000000050,EGR-2023-B,Closed,2025-11-01,2025-11-05,2026-01-10,201,65368,FALSE
REC-000143,WBA00000000000051,EGR-2023-B,Closed,2025-11-01,2025-11-18,2025-12-09,188,197606,FALSE
REC-000144,WBA00000000000061,EGR-2023-B,Closed,2025-11-01,2026-01-09,2026-05-24,136,66363,FALSE
REC-000145,WBA00000000000068,EGR-2023-B,In Progress,2025-11-01,2025-11-26,,180,105013,FALSE
REC-000146,WBA00000000000076,EGR-2023-B,Closed,2025-11-01,2025-11-23,2026-02-26,183,183340,FALSE
REC-000147,WBA00000000000077,EGR-2023-B,Closed,2025-11-01,2025-11-25,2025-12-21,181,105002,FALSE
REC-000148,WBA00000000000091,EGR-2023-B,In Progress,2025-11-01,2025-11-20,,186,72391,FALSE
REC-000149,WBA00000000000092,EGR-2023-B,In Progress,2025-11-01,2025-11-04,,202,8085,FALSE
REC-000150,WBA00000000000099,EGR-2023-B,Closed,2025-11-01,2025-11-15,2026-01-23,191,20379,FALSE
REC-000151,WBA00000000000105,EGR-2023-B,In Progress,2025-11-01,2025-11-06,,200,71580,FALSE
REC-000152,WBA00000000000107,EGR-2023-B,Closed,2025-11-01,2025-11-28,2026-04-30,178,210394,FALSE
REC-000153,WBA00000000000114,EGR-2023-B,In Progress,2025-11-01,2025-11-05,,201,79372,FALSE
REC-000154,WBA00000000000120,EGR-2023-B,Closed,2025-11-01,2025-11-24,2026-01-12,182,19592,FALSE
REC-000155,WBA00000000000121,EGR-2023-B,Open,2025-11-01,2025-11-26,,180,216819,FALSE
REC-000156,WBA00000000000122,EGR-2023-B,Closed,2025-11-01,2025-11-26,2026-03-28,180,163182,FALSE
REC-000157,WBA00000000000129,EGR-2023-B,Closed,2025-11-01,2025-11-29,2026-01-24,177,17926,FALSE
REC-000158,WBA00000000000131,EGR-2023-B,Open,2025-11-01,2025-11-13,,193,12385,TRUE
REC-000159,WBA00000000000132,EGR-2023-B,In Progress,2025-11-01,2026-04-10,,45,24045,FALSE
REC-000160,WBA00000000000133,EGR-2023-B,Closed,2025-11-01,2025-11-24,2026-01-16,182,74900,FALSE
REC-000161,WBA00000000000134,EGR-2023-B,Closed,2025-11-01,2025-12-05,2026-03-04,171,160087,FALSE
REC-000162,WBA00000000000146,EGR-2023-B,Closed,2025-11-01,2025-11-17,2026-03-04,189,129544,FALSE
REC-000163,WBA00000000000148,EGR-2023-B,In Progress,2025-11-01,2025-12-26,,150,1453,FALSE
REC-000164,WBA00000000000180,EGR-2023-B,Closed,2025-11-01,2025-11-15,2026-04-01,191,116350,FALSE
REC-000165,WBA00000000000183,EGR-2023-B,Closed,2025-11-01,2025-11-17,2025-12-12,189,13816,FALSE
REC-000166,WBA00000000000190,EGR-2023-B,Closed,2025-11-01,2026-02-23,2026-05-15,91,117965,FALSE
REC-000167,WBA00000000000194,EGR-2023-B,Closed,2025-11-01,2025-11-25,2026-02-13,181,112406,FALSE
REC-000168,WBA00000000000202,EGR-2023-B,Closed,2025-11-01,2025-11-17,2026-01-03,189,9932,FALSE
REC-000169,WBA00000000000208,EGR-2023-B,In Progress,2025-11-01,2025-11-05,,201,77139,FALSE
REC-000170,WBA00000000000212,EGR-2023-B,In Progress,2025-11-01,2026-01-10,,135,79941,FALSE
REC-000171,WBA00000000000218,EGR-2023-B,Closed,2025-11-01,2026-02-07,2026-03-03,107,238101,FALSE
REC-000172,WBA00000000000219,EGR-2023-B,In Progress,2025-11-01,2025-11-20,,186,22837,FALSE
REC-000173,WBA00000000000220,EGR-2023-B,Open,2025-11-01,2025-11-04,,202,208548,TRUE
REC-000174,WBA00000000000240,EGR-2023-B,Closed,2025-11-01,2025-11-29,2026-03-26,177,104564,FALSE
REC-000175,WBA00000000000243,EGR-2023-B,Closed,2025-11-01,2025-11-28,2026-05-17,178,108481,FALSE
REC-000176,WBA00000000000244,EGR-2023-B,Closed,2025-11-01,2025-11-22,2025-12-05,184,111180,FALSE
REC-000177,WBA00000000000251,EGR-2023-B,In Progress,2025-11-01,2025-11-15,,191,86447,FALSE
REC-000178,WBA00000000000256,EGR-2023-B,Closed,2025-11-01,2025-11-22,2026-01-01,184,95230,FALSE
REC-000179,WBA00000000000264,EGR-2023-B,Closed,2025-11-01,2025-11-11,2025-12-15,195,100188,FALSE
REC-000180,WBA00000000000265,EGR-2023-B,Closed,2025-11-01,2025-11-20,2026-03-04,186,128715,FALSE
REC-000181,WBA00000000000267,EGR-2023-B,Closed,2025-11-01,2025-11-26,2026-03-25,180,217788,FALSE
REC-000182,WBA00000000000277,EGR-2023-B,Closed,2025-11-01,2025-11-26,2026-04-05,180,7205,FALSE
REC-000183,WBA00000000000289,EGR-2023-B,Closed,2025-11-01,2025-11-06,2026-03-06,200,88121,FALSE
REC-000184,WBAEXT00008,EGR-2023-B,Closed,2025-11-01,2025-11-06,2026-01-31,200,0,FALSE
REC-000185,WBA00000000000040,AIRBAG-2022-A,In Progress,2026-02-01,2026-02-21,,93,167535,FALSE
REC-000186,WBA00000000000049,AIRBAG-2022-A,Closed,2026-02-01,2026-04-18,2026-05-15,37,159777,FALSE
REC-000187,WBA00000000000067,AIRBAG-2022-A,In Progress,2026-02-01,2026-02-07,,107,173931,FALSE
REC-000188,WBA00000000000069,AIRBAG-2022-A,Open,2026-02-01,2026-02-11,,103,179993,TRUE
REC-000189,WBA00000000000071,AIRBAG-2022-A,In Progress,2026-02-01,2026-02-21,,93,69481,FALSE
REC-000190,WBA00000000000084,AIRBAG-2022-A,Closed,2026-02-01,2026-05-07,2026-05-23,18,95225,FALSE
REC-000191,WBA00000000000094,AIRBAG-2022-A,Closed,2026-02-01,2026-02-26,2026-05-03,88,101997,FALSE
REC-000192,WBA00000000000123,AIRBAG-2022-A,Closed,2026-02-01,2026-03-02,2026-05-19,84,193331,FALSE
REC-000193,WBA00000000000124,AIRBAG-2022-A,Closed,2026-02-01,2026-05-23,2026-05-10,2,131903,FALSE
REC-000194,WBA00000000000161,AIRBAG-2022-A,Closed,2026-02-01,2026-02-08,2026-04-24,106,124597,FALSE
REC-000195,WBA00000000000186,AIRBAG-2022-A,Closed,2026-02-01,2026-05-16,2026-04-25,9,91125,FALSE
REC-000196,WBA00000000000191,AIRBAG-2022-A,Open,2026-02-01,2026-04-06,,49,87398,FALSE
REC-000197,WBA00000000000195,AIRBAG-2022-A,Closed,2026-02-01,2026-02-14,2026-03-19,100,83935,FALSE
REC-000198,WBA00000000000203,AIRBAG-2022-A,Closed,2026-02-01,2026-04-30,2026-04-27,25,239958,FALSE
REC-000199,WBA00000000000214,AIRBAG-2022-A,Closed,2026-02-01,2026-02-21,2026-04-02,93,60010,FALSE
REC-000200,WBA00000000000257,AIRBAG-2022-A,Closed,2026-02-01,2026-02-20,2026-03-18,94,97967,FALSE
REC-000201,WBA00000000000299,AIRBAG-2022-A,Closed,2026-02-01,2026-02-09,2026-03-29,105,224217,FALSE
REC-000202,WBA00000000000001,STARTER-2024-A,Closed,2026-02-20,2026-03-21,2026-03-29,65,214084,FALSE
REC-000203,WBA00000000000014,STARTER-2024-A,Open,2026-02-20,2026-05-11,,14,14162,FALSE
REC-000204,WBA00000000000015,STARTER-2024-A,In Progress,2026-02-20,2026-03-19,,67,70923,FALSE
REC-000205,WBA00000000000017,STARTER-2024-A,In Progress,2026-02-20,2026-02-23,,91,8228,FALSE
REC-000206,WBA00000000000022,STARTER-2024-A,Open,2026-02-20,2026-03-04,,82,100442,FALSE
REC-000207,WBA00000000000026,STARTER-2024-A,Open,2026-02-20,2026-05-05,,20,50210,FALSE
REC-000208,WBA00000000000027,STARTER-2024-A,Closed,2026-02-20,2026-02-28,2026-04-30,86,138716,FALSE
REC-000209,WBA00000000000050,STARTER-2024-A,Open,2026-02-20,2026-03-05,,81,65368,FALSE
REC-000210,WBA00000000000051,STARTER-2024-A,In Progress,2026-02-20,2026-03-17,,69,197606,FALSE
REC-000211,WBA00000000000061,STARTER-2024-A,Open,2026-02-20,2026-05-18,,7,66363,FALSE
REC-000212,WBA00000000000068,STARTER-2024-A,Open,2026-02-20,2026-03-12,,74,105013,FALSE
REC-000213,WBA00000000000076,STARTER-2024-A,Open,2026-02-20,2026-02-26,,88,183340,FALSE
REC-000214,WBA00000000000077,STARTER-2024-A,Open,2026-02-20,2026-02-26,,88,105002,FALSE
REC-000215,WBA00000000000091,STARTER-2024-A,Open,2026-02-20,2026-05-17,,8,72391,FALSE
REC-000216,WBA00000000000092,STARTER-2024-A,Closed,2026-02-20,2026-04-02,2026-05-14,53,8085,FALSE
REC-000217,WBA00000000000099,STARTER-2024-A,Closed,2026-02-20,2026-02-28,2026-05-07,86,20379,FALSE
REC-000218,WBA00000000000105,STARTER-2024-A,Closed,2026-02-20,2026-03-04,2026-05-11,82,71580,FALSE
REC-000219,WBA00000000000107,STARTER-2024-A,Open,2026-02-20,2026-03-02,,84,210394,FALSE
REC-000220,WBA00000000000114,STARTER-2024-A,Open,2026-02-20,2026-02-24,,90,79372,FALSE
REC-000221,WBA00000000000120,STARTER-2024-A,Open,2026-02-20,2026-03-21,,65,19592,FALSE
REC-000222,WBA00000000000121,STARTER-2024-A,In Progress,2026-02-20,2026-03-12,,74,216819,FALSE
REC-000223,WBA00000000000122,STARTER-2024-A,Closed,2026-02-20,2026-03-03,2026-05-13,83,163182,FALSE
REC-000224,WBA00000000000129,STARTER-2024-A,Closed,2026-02-20,2026-03-07,2026-03-18,79,17926,FALSE
REC-000225,WBA00000000000131,STARTER-2024-A,In Progress,2026-02-20,2026-03-12,,74,12385,FALSE
REC-000226,WBA00000000000132,STARTER-2024-A,Open,2026-02-20,2026-03-09,,77,24045,FALSE
REC-000227,WBA00000000000133,STARTER-2024-A,Closed,2026-02-20,2026-03-14,2026-05-05,72,74900,FALSE
REC-000228,WBA00000000000134,STARTER-2024-A,Open,2026-02-20,2026-05-19,,6,160087,FALSE
REC-000229,WBA00000000000146,STARTER-2024-A,Closed,2026-02-20,2026-03-06,2026-05-20,80,129544,FALSE
REC-000230,WBA00000000000148,STARTER-2024-A,Open,2026-02-20,2026-03-11,,75,1453,FALSE
REC-000231,WBA00000000000178,STARTER-2024-A,Open,2026-02-20,2026-03-17,,69,10244,FALSE
REC-000232,WBA00000000000180,STARTER-2024-A,Closed,2026-02-20,2026-03-14,2026-05-23,72,116350,FALSE
REC-000233,WBA00000000000183,STARTER-2024-A,Open,2026-02-20,2026-04-12,,43,13816,FALSE
REC-000234,WBA00000000000190,STARTER-2024-A,Open,2026-02-20,2026-05-11,,14,117965,FALSE
REC-000235,WBA00000000000194,STARTER-2024-A,Open,2026-02-20,2026-03-21,,65,112406,FALSE
REC-000236,WBA00000000000202,STARTER-2024-A,Open,2026-02-20,2026-03-13,,73,9932,FALSE
REC-000237,WBA00000000000208,STARTER-2024-A,Open,2026-02-20,2026-04-15,,40,77139,FALSE
REC-000238,WBA00000000000212,STARTER-2024-A,Open,2026-02-20,2026-03-08,,78,79941,FALSE
REC-000239,WBA00000000000213,STARTER-2024-A,In Progress,2026-02-20,2026-03-18,,68,2389,FALSE
REC-000240,WBA00000000000218,STARTER-2024-A,Closed,2026-02-20,2026-03-03,2026-04-29,83,238101,FALSE
REC-000241,WBA00000000000219,STARTER-2024-A,Closed,2026-02-20,2026-03-02,2026-05-23,84,22837,FALSE
REC-000242,WBA00000000000220,STARTER-2024-A,In Progress,2026-02-20,2026-03-15,,71,208548,FALSE
REC-000243,WBA00000000000240,STARTER-2024-A,In Progress,2026-02-20,2026-03-07,,79,104564,FALSE
REC-000244,WBA00000000000243,STARTER-2024-A,Open,2026-02-20,2026-02-24,,90,108481,FALSE
REC-000245,WBA00000000000244,STARTER-2024-A,In Progress,2026-02-20,2026-03-01,,85,111180,FALSE
REC-000246,WBA00000000000251,STARTER-2024-A,Open,2026-02-20,2026-02-27,,87,86447,FALSE
REC-000247,WBA00000000000256,STARTER-2024-A,Open,2026-02-20,2026-03-11,,75,95230,FALSE
REC-000248,WBA00000000000264,STARTER-2024-A,Closed,2026-02-20,2026-05-09,2026-05-23,16,100188,FALSE
REC-000249,WBA00000000000265,STARTER-2024-A,In Progress,2026-02-20,2026-03-12,,74,128715,FALSE
REC-000250,WBA00000000000267,STARTER-2024-A,Open,2026-02-20,2026-03-05,,81,217788,FALSE
