vin,serial_number,model,factory,engine_type,fuel_type,transmission,chassis_number,emission_standard,production_date,delivery_date,first_registration_date,mileage,fuel_consumption,accident_date,accident_type,repair_cost,service_records,recall_status_raw,previous_owners,power_output_kw,power_output_ps,owner_id,region_code,owner_country,nearest_centre_id,distance_to_nearest_centre_km
WBA00000000000134,SN180134,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050134,EURO 6e-bis,2022-01-01,2022-01-24,2022-02-01,160087,9.0,,,0.00,Partial,,1,221,300,OWN-00018,EU-DE,DE,SC-HAM,67
WBA00000000000265,SN170265,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050265,EURO 6e-bis,2022-01-01,2022-01-19,2022-02-06,128715,7.4,,,0.00,Up to date,Open,0,221,300,OWN-00019,EU-DE,DE,SC-FRA,124
WBA00000000000183,SN220183,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050183,EURO 6e-bis,2022-09-29,2022-10-06,2022-11-19,13816,10.5,,,0.00,Up to date,,0,221,300,OWN-00020,EU-DE,DE,SC-MUN,102
WBA00000000000099,SN220099,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050099,EURO 6e-bis,2022-09-10,2022-09-19,2022-10-10,20379,10.8,,,0.00,Up to date,Closed,0,221,300,OWN-00021,EU-WE,AT,SC-FRA,187
WBA00000000000213,SN250213,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050213,EURO 6e-bis,2025-03-03,2025-03-13,2025-03-21,2389,10.9,2025-12-31,Vandalism,7104.00,Up to date,,1,221,300,OWN-00022,EU-WE,AT,SC-HAM,163
WBA00000000000160,SN180160,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050160,EURO 6e-bis,2023-01-01,2023-02-03,2023-01-24,65216,6.1,,,0.00,Up to date,Open,2,550,748,OWN-00023,US-CTRL,US-TX,SC-DAL,126
WBA00000000000136,SN240136,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050136,EURO 6e-bis,2024-06-03,2024-07-12,2024-06-18,2050,7.1,,,0.00,Up to date,,0,550,748,OWN-00024,US-CTRL,US-TX,SC-DAL,204
WBA00000000000286,SN200286,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050286,EURO 6e-bis,2023-01-01,2023-01-23,2023-02-26,68484,6.7,,,0.00,Up to date,Open,2,550,748,OWN-00025,US-CTRL,US-TX,SC-DAL,214
WBA00000000000163,SN210163,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050163,EURO 6e-bis,2023-01-01,2023-01-08,2023-02-12,46836,6.8,2025-07-07,Vandalism,5954.00,Up to date,,0,550,748,OWN-00026,US-WEST,US-CA,SC-LAX,62
WBA00000000000205,SN150205,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050205,EURO 6e-bis,2023-01-01,2023-01-20,2023-02-21,83718,5.0,,,0.00,Up to date,Closed,2,550,748,OWN-00027,US-CTRL,US-IL,SC-CHI,175
WBA00000000000145,SN210145,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050145,EURO 6e-bis,2023-01-01,2023-01-19,2023-02-03,106484,7.0,,,0.00,Up to date,Open,0,550,748,OWN-00028,US-EAST,US-GA,SC-MIA,75
WBA00000000000201,SN240201,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050201,EURO 6e-bis,2024-08-04,2024-08-30,2024-09-20,1895,7.2,,,0.00,Partial,Closed,0,550,748,OWN-00028,US-EAST,US-GA,SC-MIA,75
WBA00000000000140,SN230140,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050140,EURO 6e-bis,2023-01-22,2023-02-28,2023-02-03,106459,6.5,,,0.00,Up to date,,1,550,748,OWN-00030,US-WEST,US-CA,SC-LAX,157
WBA00000000000128,SN190128,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050128,EURO 6e-bis,2023-01-01,2023-01-22,2023-02-05,57857,6.2,,,0.00,Up to date,Open,2,550,748,OWN-00031,US-CTRL,US-TX,SC-DAL,138
WBA00000000000232,SN250232,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050232,EURO 6e-bis,2025-09-08,2025-10-07,2025-11-02,12823,6.1,,,0.00,Partial,,1,550,748,OWN-00032,US-CTRL,US-SC,SC-SPB,47
WBA00000000000210,SN200210,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050210,EURO 6e-bis,2023-01-01,2023-01-10,2023-01-13,36666,7.5,,,0.00,Partial,Closed,1,550,748,OWN-00033,US-EAST,US-MA,SC-MIA,106
WBA00000000000215,SN190215,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050215,EURO 6e-bis,2023-01-01,2023-02-01,2023-01-21,97695,5.7,,,0.00,Partial,,1,550,748,OWN-00034,US-EAST,US-GA,SC-NYC,149
WBA00000000000039,SN200039,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050039,EURO 6e-bis,2024-01-01,2024-01-17,2024-02-08,75472,6.5,2025-09-26,Collision,5255.00,Up to date,,2,125,170,OWN-00035,EU-DE,DE,SC-HAM,182
WBA00000000000053,SN200053,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050053,EURO 6e-bis,2024-01-01,2024-01-27,2024-01-14,43747,6.9,,,0.00,Partial,Open,1,125,170,OWN-00036,EU-DE,DE,SC-LEI,36
WBA00000000000055,SN220055,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050055,EURO 6e-bis,2024-01-01,2024-01-13,2024-02-21,99502,6.9,,,0.00,Up to date,,0,125,170,OWN-00037,EU-DE,DE,SC-BER,8
WBA00000000000032,SN180032,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050032,EURO 6e-bis,2024-01-01,2024-02-04,2024-02-05,83703,5.3,,,0.00,Partial,,1,125,170,OWN-00038,EU-DE,DE,SC-MUN,137
WBA00000000000025,SN150025,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050025,EURO 6e-bis,2024-01-01,2024-01-19,2024-01-26,165520,7.1,,,0.00,Up to date,Open,2,125,170,OWN-00039,EU-WE,FR,SC-FRA,171
WBA00000000000097,SN150097,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050097,EURO 6e-bis,2019-10-01,2019-11-07,2019-11-06,188935,7.3,2020-09-01,Collision,690.00,Up to date,,3,160,218,OWN-00040,EU-DE,DE,SC-MUN,103
WBA00000000000093,SN190093,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050093,EURO 6e-bis,2019-10-01,2019-11-06,2019-10-29,87632,7.5,,,0.00,Partial,Open,1,160,218,OWN-00041,EU-WE,AT,SC-SPB,143
WBA00000000000083,SN200083,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050083,EURO 6e-bis,2020-11-11,2020-12-21,2020-12-25,109813,6.8,,,0.00,Partial,,1,160,218,OWN-00042,EU-WE,CH,SC-LEI,133
WBA00000000000096,SN240096,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050096,EURO 6e-bis,2024-04-05,2024-05-11,2024-05-17,12642,6.9,,,0.00,Partial,,0,160,218,OWN-00028,US-EAST,US-GA,SC-MIA,75
WBA00000000000103,SN200103,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050103,EURO 6e-bis,2020-03-04,2020-04-09,2020-03-30,79481,6.5,,,0.00,Up to date,Open,0,160,218,OWN-00044,EU-DE,DE,SC-STU,22
WBA00000000000082,SN250082,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050082,EURO 6e-bis,2025-12-13,2025-12-31,2025-12-29,8561,6.7,,,0.00,Up to date,Closed,1,160,218,OWN-00045,EU-WE,CH,SC-HAM,29
WBA00000000000125,SN200125,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050125,EURO 6e-bis,2020-05-08,2020-06-11,2020-06-22,13528,6.3,,,0.00,Up to date,,0,160,218,OWN-00046,EU-DE,DE,SC-MUN,40
WBA00000000000065,SN190065,2 Series Gran Coupe (F44),Leipzig,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH0000050065,EURO 6e-bis,2019-11-03,2019-12-01,2019-12-16,78447,6.0,,,0.00,Up to date,Open,0,160,218,OWN-00047,EU-WE,AT,SC-MUN,75
WBA00000000000170,SN150170,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050170,EURO 6e-bis,2015-08-22,2015-09-25,2015-09-09,117117,6.9,2016-11-14,Collision,1731.00,Partial,,3,353,480,OWN-00048,US-CTRL,US-TX,SC-DAL,146
WBA00000000000181,SN240181,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050181,EURO 6e-bis,2024-12-18,2025-01-18,2025-02-12,3254,9.7,,,0.00,Up to date,Closed,0,353,480,OWN-00049,MX,MX,SC-MTY,110
WBA00000000000173,SN220173,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050173,EURO 6e-bis,2022-09-09,2022-10-10,2022-09-21,106932,8.8,,,0.00,Partial,,1,353,480,OWN-00050,MX,MX,SC-MTY,140
WBA00000000000285,SN230285,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050285,EURO 6e-bis,2023-05-02,2023-05-22,2023-05-14,91978,9.4,,,0.00,Partial,Closed,0,353,480,OWN-00051,MX,MX,SC-MTY,24
WBA00000000000102,SN170102,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050102,EURO 6e-bis,2017-02-01,2017-02-22,2017-03-16,127621,10.4,,,0.00,Up to date,,1,353,480,OWN-00052,MX,MX,SC-MTY,9
WBA00000000000089,SN180089,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050089,EURO 6e-bis,2018-09-23,2018-10-27,2018-10-25,127992,9.3,,,0.00,Partial,,1,353,480,OWN-00047,EU-WE,AT,SC-MUN,75
WBA00000000000010,SN220010,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050010,EURO 6e-bis,2022-02-17,2022-03-18,2022-03-21,99401,11.0,,,0.00,Up to date,,0,353,480,OWN-00007,EU-WE,CH,SC-NYC,187
WBA00000000000142,SN240142,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050142,EURO 6e-bis,2024-10-29,2024-11-18,2024-12-11,690,10.2,,,0.00,Up to date,Closed,0,353,480,OWN-00055,MX,MX,SC-MTY,139
WBA00000000000295,SN170295,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050295,EURO 6e-bis,2017-05-09,2017-05-28,2017-06-11,164672,9.9,2019-06-28,Vandalism,811.00,Up to date,Closed,0,353,480,OWN-00056,US-WEST,US-CA,SC-LAX,146
WBA00000000000137,SN210137,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050137,EURO 6e-bis,2021-06-16,2021-07-12,2021-08-04,47953,11.0,,,0.00,Up to date,Open,2,353,480,OWN-00042,EU-WE,CH,SC-LEI,133
WBA00000000000268,SN250268,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050268,EURO 6e-bis,2025-12-04,2025-12-31,2025-12-31,6894,10.9,2025-12-31,Collision,4818.00,Up to date,,0,353,480,OWN-00058,MX,MX,SC-MTY,214
WBA00000000000042,SN220042,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050042,EURO 6e-bis,2022-10-15,2022-10-22,2022-11-15,106442,10.4,,,0.00,Partial,,1,353,480,OWN-00059,MX,MX,SC-MTY,176
WBA00000000000041,SN190041,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050041,EURO 6e-bis,2019-12-09,2020-01-22,2020-01-25,89852,10.7,,,0.00,Partial,Open,1,353,480,OWN-00060,US-CTRL,US-TX,SC-DAL,127
WBA00000000000253,SN220253,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050253,EURO 6e-bis,2022-02-21,2022-03-31,2022-03-31,70922,9.3,2025-08-02,Vandalism,2380.00,Up to date,,2,353,480,OWN-00061,MX,MX,SC-MTY,23
WBA00000000000169,SN220169,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050169,EURO 6e-bis,2022-05-23,2022-06-18,2022-06-14,104163,10.3,,,0.00,Partial,Open,1,353,480,OWN-00062,MX,MX,SC-MTY,71
WBA00000000000206,SN250206,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050206,EURO 6e-bis,2025-10-14,2025-11-15,2025-11-20,12185,9.0,,,0.00,Up to date,Open,1,353,480,OWN-00063,US-WEST,US-CA,SC-LAX,116
WBA00000000000187,SN210187,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050187,EURO 6e-bis,2021-08-08,2021-08-26,2021-08-27,19430,11.4,2025-01-29,Vandalism,5609.00,Up to date,Open,0,353,480,OWN-00064,US-WEST,US-CA,SC-LAX,27
WBA00000000000235,SN190235,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050235,EURO 6e-bis,2019-05-11,2019-06-04,2019-05-25,27126,10.8,,,0.00,Up to date,,0,353,480,OWN-00065,MX,MX,SC-MTY,174
WBA00000000000198,SN200198,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050198,EURO 6e-bis,2020-09-01,2020-09-25,2020-10-08,100721,7.6,,,0.00,Up to date,Closed,2,353,480,OWN-00066,MX,MX,SC-MTY,200
WBA00000000000013,SN240013,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050013,EURO 6e-bis,2024-12-15,2025-01-24,2025-01-19,949,11.5,,,0.00,Up to date,,0,390,530,OWN-00067,US-EAST,US-FL,SC-MIA,132
WBA00000000000280,SN230280,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050280,EURO 6e-bis,2023-06-02,2023-06-30,2023-07-01,66015,10.0,,,0.00,Partial,,1,390,530,OWN-00068,US-EAST,US-MA,SC-MIA,50
WBA00000000000193,SN230193,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050193,EURO 6e-bis,2023-10-30,2023-11-16,2023-11-22,74878,8.7,,,0.00,Up to date,,1,390,530,OWN-00069,US-EAST,US-MA,SC-NYC,208
WBA00000000000166,SN220166,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050166,EURO 6e-bis,2022-02-20,2022-03-12,2022-03-15,62389,10.7,,,0.00,Up to date,Closed,2,390,530,OWN-00070,US-WEST,US-CA,SC-LAX,186
WBA00000000000242,SN190242,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050242,EURO 6e-bis,2022-01-01,2022-02-03,2022-02-11,77277,8.2,,,0.00,Up to date,,2,390,530,OWN-00071,US-EAST,US-GA,SC-MIA,56
WBA00000000000272,SN200272,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050272,EURO 6e-bis,2022-01-01,2022-02-02,2022-02-25,118858,10.6,,,0.00,Partial,,1,390,530,OWN-00072,US-CTRL,US-SC,SC-SPB,199
WBA00000000000110,SN200110,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050110,EURO 6e-bis,2022-01-01,2022-01-13,2022-02-25,82727,10.0,,,0.00,Partial,,1,390,530,OWN-00073,US-CTRL,US-SC,SC-SPB,136
WBA00000000000282,SN240282,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050282,EURO 6e-bis,2024-01-16,2024-02-04,2024-02-23,12247,8.6,2025-05-01,Minor,2123.00,Partial,,1,390,530,OWN-00074,US-EAST,US-FL,SC-MIA,138
WBA00000000000046,SN250046,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050046,EURO 6e-bis,2025-12-12,2025-12-24,2025-12-31,1426,6.8,,,0.00,Up to date,,1,390,530,OWN-00028,US-EAST,US-GA,SC-MIA,75
WBA00000000000038,SN170038,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050038,EURO 6e-bis,2022-01-01,2022-01-23,2022-02-25,169794,11.1,2024-07-25,Minor,3335.00,Up to date,,1,390,530,OWN-00011,EU-DE,DE,SC-HAM,31
WBA00000000000144,SN190144,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050144,EURO 6e-bis,2022-01-01,2022-01-19,2022-02-06,99363,9.8,,,0.00,Up to date,Closed,2,390,530,OWN-00077,US-CTRL,US-TX,SC-DAL,38
WBA00000000000224,SN210224,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050224,EURO 6e-bis,2022-01-01,2022-02-03,2022-01-11,76198,10.8,2023-07-22,Rear-end,6043.00,Up to date,,0,390,530,OWN-00078,US-CTRL,US-TX,SC-DAL,166
WBA00000000000269,SN170269,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050269,EURO 6e-bis,2022-01-01,2022-02-10,2022-01-31,94698,10.6,,,0.00,Partial,,3,390,530,OWN-00078,US-CTRL,US-TX,SC-DAL,166
WBA00000000000092,SN240092,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050092,EURO 6e-bis,2024-01-21,2024-02-12,2024-02-04,8085,7.6,,,0.00,Up to date,Closed,1,221,300,OWN-00080,EU-DE,DE,SC-STU,179
WBA00000000000077,SN160077,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050077,EURO 6e-bis,2022-01-01,2022-01-25,2022-02-14,105002,8.3,,,0.00,Up to date,,2,221,300,OWN-00081,EU-DE,DE,SC-FRA,109
WBA00000000000050,SN230050,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050050,EURO 6e-bis,2023-12-07,2024-01-19,2024-01-08,65368,10.0,,,0.00,Partial,,0,221,300,OWN-00045,EU-WE,CH,SC-HAM,29
WBA00000000000026,SN210026,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050026,EURO 6e-bis,2022-01-01,2022-01-21,2022-02-19,50210,9.8,,,0.00,Up to date,,0,221,300,OWN-00083,EU-DE,DE,SC-COL,125
WBA00000000000014,SN240014,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050014,EURO 6e-bis,2024-01-01,2024-02-08,2024-02-03,14162,9.8,,,0.00,Up to date,,0,221,300,OWN-00084,EU-WE,BE,SC-HAM,26
WBA00000000000197,SN230197,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050197,EURO 6e-bis,2023-11-13,2023-11-22,2024-01-02,51148,10.9,,,0.00,Up to date,Closed,1,353,480,OWN-00085,MX,MX,SC-MTY,97
WBA00000000000245,SN220245,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050245,EURO 6e-bis,2022-02-17,2022-03-15,2022-04-07,102070,9.8,,,0.00,Up to date,Closed,2,353,480,OWN-00086,MX,MX,SC-MTY,80
WBA00000000000031,SN230031,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050031,EURO 6e-bis,2023-04-20,2023-05-17,2023-05-04,45423,10.0,,,0.00,Up to date,,1,353,480,OWN-00087,MX,MX,SC-MTY,178
WBA00000000000062,SN150062,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050062,EURO 6e-bis,2015-05-17,2015-06-26,2015-06-27,66407,7.2,,,0.00,Up to date,Closed,3,353,480,OWN-00088,MX,MX,SC-MTY,42
WBA00000000000011,SN210011,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050011,EURO 6e-bis,2021-05-06,2021-05-18,2021-06-26,44164,8.3,2023-04-10,Collision,3488.00,Up to date,,2,353,480,OWN-00089,MX,MX,SC-MTY,77
